S/N,statement,A1,A2,A3,target,source,text_origin
132,Wọ́n rí òkú ọlọ́pàá mẹta tó di àwátì nínú odò lẹ́yìn ọjọ́ mẹ́fà,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
133,"Wo bí ayẹyẹ ìgbadé Owa Obokun tuntun, Adesuyi Haastrup, yóò ṣe wáyé n'Ilesa",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
134,"Nńkan ò ṣe mi o, mo wà láàyè -King Sunny Ade",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
135,Wọn ti ko ọmọ Naijiria 203 tó há sí Libya padà wálé,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
136,Ìfẹ́ tí mo ní sí ọ̀bọ ló jẹ́ kí n bẹ̀rẹ̀ eré ìdárayá lílo ọwọ́ àti ẹsẹ̀ fi sáré',non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
137,Ọ́wọ ọlọ́wọ́ níí gbé òkú dé itẹ́,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
138,"Mohbad gba àmì ẹ̀yẹ Headies, wo bí àmì ẹ̀yẹ náà ṣe lọ lọ́dún yìí",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
139,"Àwọn ohun tó yẹ kí o mọ̀ nípa Robert Prevost Leo XIV, Póòpù tuntun fún ìjọ Kátólíìkì",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
140,Ọ̀ná là ní ẹnu ibodè Seme àti Badagry bí Tinubu ṣe fagilé ìgbégidínà lójú ọ̀nà Nàíjíríà sí ilẹ̀ Benin,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
141,"Ariwo sọ bí ọ̀dọ́bìnrin kan ṣe parọ́ pé wọ́n jí òun gbé lásìkò tó wà pẹ̀lú ọ̀rẹ́kùnrin rẹ̀, ọlọ́pàà sọ̀rọ̀",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
142,"""Kí àlááfíà wà pẹ̀lú yín"" Pope tuntun,  Leo XIV bá àgbáyé sọ̀rọ̀ fún ìgbà àkọ́kọ́",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
143,Kí ni ìdí tí India àti Pakistan fi ń jà sí agbègbè Kashmir?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
144,"Joe Biden korò ojú pé Donald Trump ń sọ̀rọ̀ ṣàkàṣàkà, kò sọ̀rọ̀ bíi Ààrẹ Amẹ́ríkà",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
145,"""Lẹ́yìn tí Ajínigbé gba N14m owó ìtúsílẹ̀, àpò ìrẹsì, adìẹ méjìlá tí wọn dín gbẹ, ohun mímu 24, káàdì ìpè N10,000, wọ́n tún ń bèèrè N70m míì""",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
146,Ètò yíyan Póòpù tuntun ń tẹ̀síwájú bí èéfí dúdú ṣe jáde láti Sistine Chapel,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
147,"Àlàyé rèé lórí ìdí tí aáwọ̀ ẹgbẹ́ òṣèlú Labour ṣe ń le koko sí, bí igun Abure àti Usman se dojú ogun kọ ara wọn",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
148,Fídíò rèé nípa bí wọn ṣe máa ń yan Póòpù tuntun,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
149,"Ìdí rèé tí Bàálù Herbert Wigwe fi já ní Amẹ́ríkà èyí tó rán òun, aya àti ọmọ rẹ̀ sọ́run lójijì",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,YouTube,original
150,"Ṣé lóòótọ́ ni Nnamdi Kanu pàṣẹ kí wọn máà pa àwọn ọlọ́pàá, tún lérí láti kọlu ìpínlẹ̀ Eko?",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
151,Àlàyé rèé lórí ìdí tí Póòpù fi máa ń wọ bàtà pupa àti ìdáhùn àwọn ìbéèrè míràn tó rú ọ lójú,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
152,Ìdí rèé tí mo ṣe lọ sọ́dọ̀ àjọ EFCC - Iyabo Ojo,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
153,"Kí ló ń jẹ́ ""Shadow Government"", tí Pat Utomi gbé kalẹ̀ láti tako ìjọba Tinubu?",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
154,"Bí ìgbẹ́jọ́ Alfa Abdulrahman tí wọn fẹ̀sùn ìfipábánilòpọ̀ àti ikú Afsot Yetunde kàn ní Ilorin ṣe lọ lónìí rèé, bí bàbá olóògbé ṣe bú sẹ́kún",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
155,"Boko Haram ti gboró, bàálù Drone ló ń lò láti kọlu aráàlú ní Borno - Aṣojú-ṣòfin",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
156,UK gbé ìlànà tuntun kalẹ̀ lórí 'Visa' gbígbà ní Nàìjíríà àti orílẹ̀èdè méjì míì,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
157,"Àlàyé rèé lórí ìdí tí ọ̀pọ̀ akẹ́kọ̀ọ́ ṣe fìdí rẹmi nínú ìdánwò UTME, bí JAMB ṣe kéde èsì ìdánwò náà",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
158,Wo ìgbeyàwó ọ̀pọ̀ èèyàn tó wáyé ní ṣọ́ọ̀ṣì kan níbi tí ọkùnrin ti ń fẹ́ ju ìyàwó kan lọ,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
159,Kà nípa àìsàn tó lè pa ọmọ ìkókó,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
160,"185,000 ọmọ ogun Russia ló ti bá ogun lọ ní Ukraine",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
161,"Nínú ọba 82, ìjọba kéde ojúlówó ọba 16 péré ní ilẹ̀ Benin, ariwo sọ",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
162,"""Orin Kèǹgbè jẹ́ orin àwa Fúlàní, àwọn Yorùbá kò mọ iyì rẹ̀""",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
163,'Wọ́n sọ fún ìyá mi láti jù mí nù ní kékeré nítorí mo ní àìsàn 'Sickle Cell' àmọ́ mo tí pé ọdún 65 báyìí',non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
164,"'Bí àwọn èèyàn bá rí mi, ọmọ gómìnà Adeleke ni wọ́n ń pè mí nítorí pé a jọra gidigidi'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
165,'Ọjọ́ mẹ́rin ni ọkọ mi fi sá kúrò nílé lẹ́yìn tó gbọ́ pé ìbẹta ni mo bí',non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
166,"Baálẹ̀ Yemi Ogunyemi, Baálẹ̀ Oluyole àti àgbà ọ̀jẹ̀ agbóhùnsáfẹ́fẹ́, jáde láyé",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
167,Russia fẹ̀sùn kan Ukraine pé ó ju àdó olóró sí Moscow ṣáájú ayẹyẹ ogun àgbáyé kejì,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
168,Wo àwọn ọmọ Naijiria mẹ́fà tí ile-ẹjọ́ ti dájọ́ ikú fún,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
169,Ìyàwó gun ọkọ lọ́bẹ pa lẹ̀yìn ọjọ́ kẹsàn-án ìgbeyàwó,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
170,"Mọ̀ nípa Joan, obìnrin tó ṣe bí ọkùnrin tó fi di Póòpù ìjọ Àgùdà",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
171,"Tito Harrison, gbajúmọ̀ òṣèré tíátà ṣàlàyé àìsàn tó sọ ọ́ di aláìní, tó ṣe ń gbé ilé àna rẹ̀",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
172,Kí nídìí tí Póòpù tuntun fi yan Leo XIV gẹ́gẹ́ bí orúkọ oyè rẹ̀ tuntun?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
173,Wo bí àwọn obìnrin ṣe ń rí ikú he láti ọwọ́ àwọn ọkùnrin ní Naijiria,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
174,Ẹgbẹ́ ọ̀dọ́ fún Gómìnà Adeleke ní gbèdéke ọjọ́ láti yanjú owó ilé tó ń fò lókè l'Osun,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
175,"""Mò ń kọ́ àwọn akẹ́kọ̀ọ́ ní ìmọ̀ ẹ̀kọ́ Kẹ́mísírì lédè Yorùbá, fún àgbéga akẹ́kọ̀ọ́ àti èdé abínibí""",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
176,Wo ìgbésẹ̀ tí o le è gbé láti mọ̀ bóyá ojúlówó ni nọ̀ńbà NIN rẹ àti ànfàní lílo rẹ̀,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
177,"Ilé aṣòfin bẹ̀rẹ̀ ìgbésẹ̀ láti sọ Aláàfin di alága ìgbìmọ̀ lọ́balọ́ba l‘Oyo, Olubadan ni igbákejì, Soun ni igbá kẹta, Olubadan bá yarí",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
178,"""Ọgbẹ́ ọkàn ló jẹ́ pé Faith, ọmọ mi pa ara rẹ̀ tórí ó gba máàkì kékeré nínú èsì ìdánwò JAMB""",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
179,Kí ló mú kí ìjọba Kwara gbé ilé ẹ̀kọ́ girama méjì tipa n'Ilorin?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
180,"Ọdún Egúngún àgbáyé sọkutu wọ̀wọ̀ nílùú Ibadan, àlàyé rèé lórí ìsesí egúngún pàtàkì mẹ́wàá tó pitú",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
181,"""Ìyàwó àti ọmọ mi márùn-ún kú lọ́jọ́ kan ṣoṣo lẹ́yìn tí wọ́n jẹ ìrẹsì tán""",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
182,Jumoke George tí mọ ibi tí ọmọ rẹ̀ àmọ́ nǹkan kò fara rọ fún-un níbẹ̀ - Biola Bayo,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
183,Àwọn akẹ́kọ̀ọ́ àtàwọn òbí fẹ́ kí àjọ JAMB fagilé gbogbo èsì ìdánwò UTME tó jáde torí àṣìṣe tó wà níbẹ̀,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
184,Ìdí tí Tinubu ṣe fi òfin de kíkó àwọn ọjà  kan wọlé sí Nàíjíríà láti ilẹ̀ òkèèrè,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
185,Ohun tí a mọ̀ rèé nípa ‘ìrẹsì olóró’ tí wọ́n ló wọ ìpínlẹ̀ Ogun àti Eko,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
186,Wo bí ìmọ̀ ẹ̀rọ àtọwọ́dá àti àsọdùn ṣe ń gbóríyìn fún olórí ológun,non-sarcastic,non-sarcastic,sarcastic,non-sarcastic,BBC News,original
187,"""Àwọn ológun wà níbí lóòótọ́, ṣùgbọ́n kò sí ààbò fún wa""",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
188,Wo eré tíátà mẹ́wàá tó sọ fíìmù Yorùbá di ìlúmọ̀ọ́ká ní àgbáyé,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
189,Wọ́n ti sin àgékù ara Hafsot Lawal tí afurasí Abdulrahman gé wẹ́lẹ́wẹ́lẹ́ n'Ilorin,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
190,Kí ni yóò ṣẹlẹ̀ s'áwọn akẹ́kọ̀ọ́ bí JAMB ṣe l'óun yóò ṣe àtúnyẹ̀wò èsì ìdánwo 2025?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
191,Ọwọ́ NDLEA tẹ obìnrin tó gbé òògùn olóró pamọ́ sójú ara rẹ̀ lọ sí Iran,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
192,Ọ̀pọ̀ ọdún ni ọkọ mi fi lòògùn oorun fún mi kó lè baà ráàyè máa fipá bá mi lò pọ̀',non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
193,Ìdí tí ọ̀pọ̀ èèyàn káàkiri àgbáyé ṣe fẹ́ràn ìjọba ológun Burkina Faso,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
194,"Ìgalà fa ìjàmbá fún bàálù Air Peace, ó tún ṣàkóbá fún ìrìnàjò òfurufú ní Delta",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
195,"Ìjàmbá tírélà ré kọ̀nténà lu ''dispatch rider' méjì l'Eko, wọ́n pàdánù ẹ̀mí wọn lójú ẹsẹ̀",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
196,"Ìdí tí ọlọ́pàá South Africa fi mú pásítọ̀ ọmọ Naijiria padà, lẹ́yìn tí iléẹjọ́ tú u sílẹ̀ lọ́gbà ẹ̀wọ̀n lórí ẹ̀sùn ìfipábánilòpọ̀",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
197,"Ǹjẹ́ ẹ ti gbọ́ nípa ìlú Ugbo nípìnlẹ̀ Ondo, níbi tó ti jẹ́ èèwọ̀ láti fẹ́ obìnrin pupa?",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
198,Ta a ni eku ẹdá tó tún dá wàhálà sílẹ̀ lẹ́yìn tí India àti Pakistan gbà láti sinmi ogun?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
199,"Femi Adebayo, Mercy Aigbe, fíìmù Lisabi, àti àwọn míì tó borí níbi àmì ẹ̀yẹ 2025 AMVCA",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
200,Ilé-ẹjọ́ ju ọmọge tó pé 'Bàbá Aláàánú' rẹ̀ lẹ́jọ́ sẹ́wọ̀n,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
201,"Zobo ni Man City fi gba aṣo lára ewúrẹ́ Liverpool, ayé polúkúmuṣu mọ́ Liverpool lówọ́ lónìí",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
202,"Lẹ́yìn iṣẹ́ abẹ kejì ní ikùn rẹ̀, Taiwo Awoniyi jí sáyé padà, ó kúrò ní ẹsẹ̀ kan ayé, ẹsẹ̀ kan ọ̀run",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
203,"Palmer kó òtútù ká Wolves mọ́lé, níṣe ni ìkokò àti àwọn ọ̀tá Chelsea n gbọ̀n tẹnutẹnu",sarcastic,sarcastic,sarcastic,sarcastic,BBC News,original
204,Wo ìrànlọ́wọ́ tó yẹ kí o ṣe fún ẹni tí rọpárọsẹ̀ bá kọlù lójijì,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
205,"""Ojú ọ̀nà Ikare sí Ogbagi di pàkúté ikú, ẹ̀mí arìnrìnàjò ń bọ́ púpọ̀ torí ìjàmbá ọkọ̀, ìkọlù adigunjalè àtàwọn ajínigbé""",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
206,Ẹ wo ààfin ìlù níbi tí wọ́n ti n bọ ilù gúdúgúdú tí obìnrin tó bá n ṣe nnkan oṣù kò gbọdọ̀ fọwọ́ kàn,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
207,"Mo ṣiṣẹ́ abẹ, wọ́n tún pàárọ̀ itan mi nítorí àìsàn ikọ́-ife inú egungun tó mú mi'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
208,Ohun tó yẹ kí o mọ̀ nípa ètò ìlera Medipool tí ìjọba ṣẹ̀ṣẹ̀ buwọ́lù fún aráàlú,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
209,"Lateef Adedimeji, Mercy Aigbe, àti àwọn mìí bá BBC sọ̀rọ̀ lẹ́yìn tí wọ́n gba àmì ẹ̀yẹ̀ AMVCA",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
210,"Agbébọn kọlu ibùdó ọmọ ogun Naijiria, wọ́n jí ọ̀pọ̀ sọ́jà gbé lọ",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
211,"Ìjọba UK kéde ìlànà tuntun tí yóò bẹ́gi dínà àwọn tó fẹ́ kàwé, ṣiṣẹ́ tàbí gbé níbẹ̀",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
212,Àjọ NAPTIP kó ọmọ Naijiria 78 padà wálé lóko ẹrú láti Abidjan,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
213,Kí ni ìdí abájọ tí Pásítọ̀ Chris fi sọ pé òun máa jẹ iyọ̀ tó pọ̀ nínú oúnjẹ?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
214,Sé lóòótọ́  làwọn agbégbọn kọ lẹ́tà pé àwọn tún fẹ́ kọlu ìjọ Aguda nílùú Owo? Ohun tí a mọ̀ rèé,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
215,Ìdí rèé tí iṣẹ́ ìtọ́jú èèyàn táwọn ọmọ ilẹ̀ òkèèrè ń ṣe ní UK yóò fi dópin láìpẹ́,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
216,"Wọ́n sọ iná sí ibùdó epo ní Port Sudan,  aráàlú ń kérora",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
217,Bàbá Mohbad le pe ẹjọ́ tako ìdájọ́ tó tú Naira Marley àti Sam Larry sílẹ̀ - Ilé ẹjọ́,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
218,Ìyàwó ilé tó di ògbóǹtarìgì nínú ìdíje àgbáyé fáwọn èèyàn tó sán eegun,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
219,"Ọkùnrin tí Salawa ń fẹ́ báyìí ń yá a lò ni, ìyàwó mi ni títí ayé - Kollington Ayinla",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
220,"Oun tí aráyé ń pè ní ""àṣeyọrí òjijì"" náà ni ọjọ́ tí ayé ṣe pẹ̀kí pẹ̀lú òtítọ́ tí o ti ń fi lògbà láti kánrinkese",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
221,Àkókò ní ìlànà rẹ̀ tí yóò fi ṣe àfìhàn tàbí àyẹ́sí oun tí ó ní ìfaradà,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
222,"Ìwọ, túbọ̀ dúró ṣinṣin pẹ̀lú òtítọ́ rẹ",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
223,"Bí ẹ bá jẹ́ olùfẹ́ lítírésọ̀ Yorùbá, ó dá mi lójú pé àkàgbádùn ni ìwé ìtàn mi, tí àkọlé rẹ ń jẹ́ Ṣẹ̀gílọlá Arómirẹ́ Ògìdán yóò jẹ́ fún yín",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
224,Wo àwọn oníjàkadì inú ẹrọ̀fọ̀ tó wá di ògo àgbáyé,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
225,"Lónìí ni èsì ìdánwò JAMB táwọn akẹ́kọ̀ọ́ 379,000 tún ṣe yóò jáde",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
226,Kí ló ṣokùnfà bí ẹlẹ́wọ̀n méje ṣe sá lọ lọ́gbà ẹ̀wọ̀n Osun lẹ́yìn àrọ̀ọ̀dá òjò?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
227,Ọkọ dáná sun ìyàwó àti ọmọ nítorí owó oúnjẹ,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
228,Ìtàn bí ìwà ọ̀dàlẹ̀ ṣe mú egúngún wọ ìlú Omu-Aran àti bó ṣe di àṣà,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
229,"Àṣìta ìbọn 'ọlọ́pàá' ṣekú pa akẹ́kọ̀ọ́ tó ń ṣèdánwò WAEC n'Ibadan, àwọn olùfẹ̀hónúhàn gbé òkú rẹ̀ lọ ọ́fíìsì Makinde",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
230,'A kò lè sọ bóyá alága ẹgbẹ́ APC tí wọ́n jígbé l'Ondo ti kú tàbí kò tíì kú'',non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
231,Mọ́gàjí Ogbomoso àti Ibadan tako àbá láti sọ Alaafin di alága láéláé ìgbìmọ̀ lọ́balọ́ba Oyo,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
232,"Ẹni tí a jọ ń gbé lábẹ́ òrùlé kan ló tà mí sóko ẹrú ní Mali – Adeola, ọmọ Jumoke George",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
233,"Ìfẹ̀hónúhàn wa kò lọ́wọ́ òṣèlú nínú, ìdí tí a fi wọ́de lórí ọ̀nà tí kò da rèé'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
234,Mi ò mọ̀ pé mo lè dé ipò ọba - Owa Obokun tuntun Ilẹ̀ Ijẹsa,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
235,Ṣé lóòótọ́ ni àwọ́n jàǹdùkú kọlu Alabi Pasuma lóde eré ní Ikire?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
236,"Kí ni Ààrẹ Tinubu, Peter Obi àti Kayode Fayemi bá ara wọn sọ nígbà tí wọ́n pàdé nibi ayẹyẹ Poopu ni Rome?",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
237,Perimenopause: Wo àwọn ọ̀nà mẹ́fà láti mójútó ìlera lásìkò tí nǹkan oṣù obìnrin ti fẹ́ dúró,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
238,"Mọ̀ nípa Opeyemi Bright, ọmọbìnrin Nàìjíríà tó di olórí ìjọba ìbílẹ̀ ní UK",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
239,Timothy Omotosho: Wo àwọn pásítọ̀ ọmọ Naijiria tó ti fìgbàkanrí ní ìṣòro òfin nílẹ̀ òkèèrè,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
240,"Ọmọkùnrin tó fi mílíọ̀nù kan Náírà, owó ọ̀gá rẹ̀, ta tẹ́tẹ́ dèrò ẹ̀wọ̀n",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
241,Ìdí tí mo fi pè fún àtúntò ìgbìmọ̀ àwọn ọba l' Oyo -Seyi Makinde,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
242,Èèyàn 27 tún kú nínú ìjamba ọkọ̀ ojú omi ní Kwara,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
243,"Kọngílá parí títì, àgbàrá òjò wọ́ọ lọ lọ́jọ́ kejì, Gómìnà Adeleke bá fárígá l'Osun",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
244,Ajínigbé ṣekúpa alága ẹgbẹ́ APC l'Ondo lẹ́yìn tí wọ́n kọ́kọ́ gba ₦5m owó ìtúsílẹ̀,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
245,Kí ló ṣẹlẹ̀ sí àgbà òṣèré Yemi My Lover tó fi ké gbàjarè pé òun nílò ìrànlọ́wọ́?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
246,"Ìjàmbá ọkọ̀ gbẹ̀mí èèyàn méje, àwọn mẹ́rìndínlógún míì farapa",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
247,Àbọ̀ ìwádìí BBC rèé lórí ìrẹsì tí wọ́n ní ó ń pààyàn láti Seme,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
248,Njẹ́ o ti gbọ́ nípa àwọn ìlú mẹ́fà yìí níbi tí òòrùn ò kìí wọ̀ rárá?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
249,Ìdí tí mo fi sunkún nígbà tí MKO Abiola jáde láyé - Alake ilẹ̀ Ẹ̀gbá,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
250,Ogún Naira ni mo gbà fún Sinímá Ọ̀pá Ajé tó sọ mí di olókìkí – Àjan Abija,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
251,Ṣó o l'áyà! Ẹ wo bí Eniola Ajao ṣe fakọyọ lórí ètò tí BBC fi n dàn ìmọ̀ èdè Yorùbá wò,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
252,"Ìfìyà-jẹ-ara ẹni ni Libya tí mo wá, mi ò tọrọ irú ẹ fún ọ̀tá mi'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
253,Ọlọ́pàá ń lo àyẹ̀wò DNA láti ṣàwárí ìyá àwọn ọmo tí wọ́n rí nínú àpò lẹ́bá ọ̀nà,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
254,Kí ló kàn fún Simon Ekpa lẹ́yìn tí ìjọba Finland fẹ̀sùn ìdìtẹ̀mọ́jọba kàn án?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
255,Ìbẹ̀rùbojo gbilẹ̀ lórí owó orí ẹran àgbò bí ìjọba ṣe fòfin dé kíkó àgbò lọ sórílẹ̀ èdè míì lásìkò Ileya,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
256,Ìbálòpọ̀ pẹ̀lú ìlérí góòlù - àṣírí ìwà àìtọ́ tó ń kojú àwọn ọmọdékùnrin kan láwọn ibùdó ìwakùsà tó lòdì sófin ni South Africa,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
257,Òkò ọ̀rọ̀ ń bọ́ bí Ibadan àti Oyo ṣe ń tahùn síra wọn lórí ẹni tí ipò alága ìgbìmọ̀ lọ́balọ́ba l'Oyo tọ́ sí,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
